"Producto Interno Bruto 1/"
"Años","Trimestres","a) Variaciones trimestrales en por ciento e índice 2019-IV=100, a. e.","b) Variaciones anuales en por ciento"
"Variaciones trimestrales","Índice 2019-IV=100"
"Desestacionalizada","Desestacionalizada","Original","Desestacionalizada"
"2014","I","0.64","91.78","2.48","1.33"
"2014","II","1.33","93.00","1.95","3.11"
"2014","III","0.15","93.14","2.56","2.63"
"2014","IV","0.84","93.93","3.02","2.99"
"2015","I","0.46","94.35","2.89","2.80"
"2015","II","0.92","95.22","2.34","2.39"
"2015","III","1.19","96.36","3.38","3.45"
"2015","IV","-0.33","96.04","2.21","2.26"
"2016","I","-0.05","95.99","1.65","1.74"
"2016","II","0.35","96.33","2.26","1.16"
"2016","III","0.96","97.25","0.88","0.93"
"2016","IV","1.07","98.29","2.29","2.34"
"2017","I","0.58","98.86","3.44","2.99"
"2017","II","0.14","98.99","1.52","2.77"
"2017","III","-0.56","98.44","1.19","1.22"
"2017","IV","1.28","99.70","1.40","1.44"
"2018","I","1.29","100.98","1.04","2.15"
"2018","II","-0.38","100.60","2.82","1.62"
"2018","III","0.58","101.18","2.76","2.78"
"2018","IV","-0.18","100.99","1.28","1.29"
"2019","I","0.03","101.02","1.07","0.04"
"2019","II","-0.20","100.82","-0.74","0.22"
"2019","III","0.00","100.82","-0.38","-0.35"
"2019","IV","-0.81","100.00","-1.02","-0.98"
"2020","I","-1.25","98.75","-1.54","-2.25"
"2020","II","-19.22","79.77","-20.69","-20.88"
"2020","III","15.75","92.33","-8.44","-8.42"
"2020","IV","4.23","96.24","-3.86","-3.76"
"2021","I","0.56","96.77","-2.96","-2.00"
"2021","II","0.69","97.44","22.41","22.15"
"2021","III","-0.59","96.87","4.87","4.91"
"2021","IV","1.41","98.24","1.97","2.08"
"2022","I","1.39","99.60","2.95","2.93"
"2022","II","0.99","100.59","3.32","3.23"
"2022","III","1.23","101.82","5.07","5.11"
"2022","IV","0.64","102.47","4.23","4.31"
"2023","I","0.81","103.30","3.77","3.71"
"2023","II","0.84","104.17","3.59","3.56"
"a. e. / Serie con ajuste estacional.1/ Se acotó la escala vertical de las gráficas para facilitar su lectura.Fuente: Sistema de Cuentas Nacionales de México (SCNM), INEGI."
""
